location_id,location_code,location_name,location_type,address_line1,city,state_province,postal_code,country,region,time_zone,is_active,square_footage,dock_door_count,created_at,updated_at,_loaded_at,_source_system
LOC0001,DC-TX-01,Dallas Dc 1,DC,101 Commerce Pkwy,Dallas,TX,75001,US,South,America/Chicago,true,50000,55,2022-01-15 00:00:00,2025-08-01 12:00:00,2025-09-20 06:00:00,TMS
LOC0002,DC-GA-02,Atlanta Dc 2,DC,102 Commerce Pkwy,Atlanta,GA,75002,US,South,America/Chicago,true,120000,16,2022-01-15 00:00:00,2025-08-01 12:00:00,2025-09-20 06:00:00,TMS
LOC0003,DC-IL-03,Chicago Dc 3,DC,103 Commerce Pkwy,Chicago,IL,75003,US,Midwest,America/Chicago,true,,13,2022-01-15 00:00:00,2025-08-01 12:00:00,2025-09-20 06:00:00,TMS
LOC0004,DC-OH-04,Columbus Dc 4,DC,104 Commerce Pkwy,Columbus,OH,75004,US,Midwest,America/Chicago,true,50000,9,2022-01-15 00:00:00,2025-08-01 12:00:00,2025-09-20 06:00:00,TMS
LOC0005,DC-CA-05,Los Angeles Dc 5,DC,105 Commerce Pkwy,Los Angeles,CA,75005,US,West,America/Los_Angeles,true,120000,40,2022-01-15 00:00:00,2025-08-01 12:00:00,2025-09-20 06:00:00,TMS
LOC0006,DC-WA-06,Seattle Dc 6,DC,106 Commerce Pkwy,Seattle,WA,75006,US,West,America/Los_Angeles,true,,20,2022-01-15 00:00:00,2025-08-01 12:00:00,2025-09-20 06:00:00,TMS
LOC0007,DC-NJ-07,Newark Dc 7,DC,107 Commerce Pkwy,Newark,NJ,75007,US,Northeast,America/New_York,true,,34,2022-01-15 00:00:00,2025-08-01 12:00:00,2025-09-20 06:00:00,TMS
LOC0008,DC-MA-08,Boston Dc 8,DC,108 Commerce Pkwy,Boston,MA,75008,US,Northeast,America/New_York,true,,25,2022-01-15 00:00:00,2025-08-01 12:00:00,2025-09-20 06:00:00,TMS
LOC0009,WAR-AZ-01,Phoenix Warehouse 1,WAREHOUSE,109 Commerce Pkwy,Phoenix,AZ,75009,US,West,America/Los_Angeles,true,50000,56,2022-01-15 00:00:00,2025-08-01 12:00:00,2025-09-20 06:00:00,TMS
LOC0010,WAR-CO-02,Denver Warehouse 2,WAREHOUSE,110 Commerce Pkwy,Denver,CO,75010,US,West,America/Los_Angeles,true,400000,29,2022-01-15 00:00:00,2025-08-01 12:00:00,2025-09-20 06:00:00,TMS
LOC0011,WAR-TX-03,Houston Warehouse 3,WAREHOUSE,111 Commerce Pkwy,Houston,TX,75011,US,South,America/Chicago,true,120000,56,2022-01-15 00:00:00,2025-08-01 12:00:00,2025-09-20 06:00:00,TMS
LOC0012,WAR-TN-04,Memphis Warehouse 4,WAREHOUSE,112 Commerce Pkwy,Memphis,TN,75012,US,South,America/Chicago,true,50000,32,2022-01-15 00:00:00,2025-08-01 12:00:00,2025-09-20 06:00:00,TMS
LOC0013,WAR-TX-05,Dallas Warehouse 5,WAREHOUSE,113 Commerce Pkwy,Dallas,TX,75013,US,South,America/Chicago,true,250000,46,2022-01-15 00:00:00,2025-08-01 12:00:00,2025-09-20 06:00:00,TMS
LOC0014,WAR-GA-06,Atlanta Warehouse 6,WAREHOUSE,114 Commerce Pkwy,Atlanta,GA,75014,US,South,America/Chicago,true,50000,54,2022-01-15 00:00:00,2025-08-01 12:00:00,2025-09-20 06:00:00,TMS
LOC0015,WAR-IL-07,Chicago Warehouse 7,WAREHOUSE,115 Commerce Pkwy,Chicago,IL,75015,US,Midwest,America/Chicago,true,50000,32,2022-01-15 00:00:00,2025-08-01 12:00:00,2025-09-20 06:00:00,TMS
LOC0016,WAR-OH-08,Columbus Warehouse 8,WAREHOUSE,116 Commerce Pkwy,Columbus,OH,75016,US,Midwest,America/Chicago,true,250000,48,2022-01-15 00:00:00,2025-08-01 12:00:00,2025-09-20 06:00:00,TMS
LOC0017,WAR-CA-09,Los Angeles Warehouse 9,WAREHOUSE,117 Commerce Pkwy,Los Angeles,CA,75017,US,West,America/Los_Angeles,true,250000,44,2022-01-15 00:00:00,2025-08-01 12:00:00,2025-09-20 06:00:00,TMS
LOC0018,WAR-WA-10,Seattle Warehouse 10,WAREHOUSE,118 Commerce Pkwy,Seattle,WA,75018,US,West,America/Los_Angeles,true,50000,10,2022-01-15 00:00:00,2025-08-01 12:00:00,2025-09-20 06:00:00,TMS
LOC0019,YAR-NJ-01,Newark Yard 1,YARD,119 Commerce Pkwy,Newark,NJ,75019,US,Northeast,America/New_York,true,250000,13,2022-01-15 00:00:00,2025-08-01 12:00:00,2025-09-20 06:00:00,YMS
LOC0020,YAR-MA-02,Boston Yard 2,YARD,120 Commerce Pkwy,Boston,MA,75020,US,Northeast,America/New_York,true,50000,32,2022-01-15 00:00:00,2025-08-01 12:00:00,2025-09-20 06:00:00,YMS
LOC0021,YAR-AZ-03,Phoenix Yard 3,YARD,121 Commerce Pkwy,Phoenix,AZ,75021,US,West,America/Los_Angeles,true,250000,18,2022-01-15 00:00:00,2025-08-01 12:00:00,2025-09-20 06:00:00,YMS
LOC0022,YAR-CO-04,Denver Yard 4,YARD,122 Commerce Pkwy,Denver,CO,75022,US,West,America/Los_Angeles,true,120000,50,2022-01-15 00:00:00,2025-08-01 12:00:00,2025-09-20 06:00:00,YMS
LOC0023,YAR-TX-05,Houston Yard 5,YARD,123 Commerce Pkwy,Houston,TX,75023,US,South,America/Chicago,true,50000,46,2022-01-15 00:00:00,2025-08-01 12:00:00,2025-09-20 06:00:00,YMS
LOC0024,YAR-TN-06,Memphis Yard 6,YARD,124 Commerce Pkwy,Memphis,TN,75024,US,South,America/Chicago,true,,54,2022-01-15 00:00:00,2025-08-01 12:00:00,2025-09-20 06:00:00,YMS
LOC0025,YAR-TX-07,Dallas Yard 7,YARD,125 Commerce Pkwy,Dallas,TX,75025,US,South,America/Chicago,true,400000,32,2022-01-15 00:00:00,2025-08-01 12:00:00,2025-09-20 06:00:00,YMS
LOC0026,YAR-GA-08,Atlanta Yard 8,YARD,126 Commerce Pkwy,Atlanta,GA,75026,US,South,America/Chicago,true,,22,2022-01-15 00:00:00,2025-08-01 12:00:00,2025-09-20 06:00:00,YMS
LOC0027,STO-IL-01,Chicago Store 1,STORE,127 Commerce Pkwy,Chicago,IL,75027,US,Midwest,America/Chicago,true,,,2022-01-15 00:00:00,2025-08-01 12:00:00,2025-09-20 06:00:00,TMS
LOC0028,STO-OH-02,Columbus Store 2,STORE,128 Commerce Pkwy,Columbus,OH,75028,US,Midwest,America/Chicago,true,,,2022-01-15 00:00:00,2025-08-01 12:00:00,2025-09-20 06:00:00,TMS
LOC0029,STO-CA-03,Los Angeles Store 3,STORE,129 Commerce Pkwy,Los Angeles,CA,75029,US,West,America/Los_Angeles,true,,,2022-01-15 00:00:00,2025-08-01 12:00:00,2025-09-20 06:00:00,TMS
LOC0030,STO-WA-04,Seattle Store 4,STORE,130 Commerce Pkwy,Seattle,WA,75030,US,West,America/Los_Angeles,true,,,2022-01-15 00:00:00,2025-08-01 12:00:00,2025-09-20 06:00:00,TMS
LOC0031,STO-NJ-05,Newark Store 5,STORE,131 Commerce Pkwy,Newark,NJ,75031,US,Northeast,America/New_York,false,,,2022-01-15 00:00:00,2025-08-01 12:00:00,2025-09-20 06:00:00,TMS
