customer_id,customer_code,customer_name,customer_type,industry,email,phone,billing_city,billing_state,billing_country,shipping_city,shipping_state,shipping_country,credit_limit,status,account_manager,created_at,updated_at,_loaded_at,_source_system
CUST0001,NS-C00001,Atlanta Commerce Partners 1,WHOLESALE,Apparel,orders1@example-retail.com,+1-555-1001,Atlanta,GA,US,Los Angeles,CA,US,202609.08,ACTIVE,J. Kim,2021-01-08 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0002,NS-C00002,Chicago Commerce Partners 2,RETAIL,Automotive,orders2@example-retail.com,+1-555-1002,Chicago,IL,US,Seattle,WA,US,178974.13,ACTIVE,A. Patel,2021-01-15 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0003,NS-C00003,Columbus Retail Group 3,DISTRIBUTOR,Sporting,orders3@example-retail.com,+1-555-1003,Columbus,OH,US,Newark,NJ,US,408218.03,ACTIVE,J. Kim,2021-01-22 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0004,NS-C00004,Los Angeles Retail Group 4,WHOLESALE,Automotive,orders4@example-retail.com,+1-555-1004,Los Angeles,CA,US,Boston,MA,US,474800.99,ACTIVE,A. Patel,2021-01-29 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0005,NS-C00005,Seattle Distributors LLC 5,RETAIL,Sporting,orders5@example-retail.com,+1-555-1005,Seattle,WA,US,Phoenix,AZ,US,278035.43,ACTIVE,J. Kim,2021-02-05 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0006,NS-C00006,Newark Supply Co 6,ECOMMERCE,Automotive,orders6@example-retail.com,+1-555-1006,Newark,NJ,US,Denver,CO,US,103435.31,ACTIVE,R. Brooks,2021-02-12 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0007,NS-C00007,Boston Commerce Partners 7,ECOMMERCE,Apparel,orders7@example-retail.com,+1-555-1007,Boston,MA,US,Houston,TX,US,466233.91,ACTIVE,L. Chen,2021-02-19 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0008,NS-C00008,Phoenix Supply Co 8,DISTRIBUTOR,Home Goods,orders8@example-retail.com,+1-555-1008,Phoenix,AZ,US,Memphis,TN,US,497695.94,ACTIVE,L. Chen,2021-02-26 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0009,NS-C00009,Denver Markets Inc 9,ECOMMERCE,Automotive,orders9@example-retail.com,+1-555-1009,Denver,CO,US,Dallas,TX,US,239455.92,ACTIVE,J. Kim,2021-03-05 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0010,NS-C00010,Houston Supply Co 10,RETAIL,Electronics,orders10@example-retail.com,+1-555-1010,Houston,TX,US,Atlanta,GA,US,34991.27,ACTIVE,R. Brooks,2021-03-12 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0011,NS-C00011,Memphis Supply Co 11,WHOLESALE,Grocery,orders11@example-retail.com,+1-555-1011,Memphis,TN,US,Chicago,IL,US,58721.72,ACTIVE,L. Chen,2021-03-19 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0012,NS-C00012,Dallas Retail Group 12,WHOLESALE,Grocery,orders12@example-retail.com,+1-555-1012,Dallas,TX,US,Columbus,OH,US,455074.51,ACTIVE,M. Torres,2021-03-26 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0013,NS-C00013,Atlanta Retail Group 13,WHOLESALE,Electronics,orders13@example-retail.com,+1-555-1013,Atlanta,GA,US,Los Angeles,CA,US,342764.44,ACTIVE,J. Kim,2021-04-02 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0014,NS-C00014,Chicago Commerce Partners 14,WHOLESALE,Pharmacy,orders14@example-retail.com,+1-555-1014,Chicago,IL,US,Seattle,WA,US,469369.26,ACTIVE,R. Brooks,2021-04-09 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0015,NS-C00015,Columbus Commerce Partners 15,ECOMMERCE,Apparel,orders15@example-retail.com,+1-555-1015,Columbus,OH,US,Newark,NJ,US,397694.23,ACTIVE,S. Nguyen,2021-04-16 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0016,NS-C00016,Los Angeles Supply Co 16,RETAIL,Grocery,orders16@example-retail.com,+1-555-1016,Los Angeles,CA,US,Boston,MA,US,338016.81,ACTIVE,M. Torres,2021-04-23 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0017,NS-C00017,Seattle Distributors LLC 17,ECOMMERCE,Home Goods,orders17@example-retail.com,+1-555-1017,Seattle,WA,US,Phoenix,AZ,US,435322.46,ACTIVE,A. Patel,2021-04-30 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0018,NS-C00018,Newark Retail Group 18,RETAIL,Home Goods,orders18@example-retail.com,+1-555-1018,Newark,NJ,US,Denver,CO,US,370901.45,ACTIVE,A. Patel,2021-05-07 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0019,NS-C00019,Boston Supply Co 19,WHOLESALE,Apparel,orders19@example-retail.com,+1-555-1019,Boston,MA,US,Houston,TX,US,279735.73,ACTIVE,J. Kim,2021-05-14 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
CUST0020,NS-C00020,Phoenix Distributors LLC 20,WHOLESALE,Electronics,orders20@example-retail.com,+1-555-1020,Phoenix,AZ,US,Memphis,TN,US,244748.33,ACTIVE,A. Patel,2021-05-21 00:00:00,2025-09-01 08:00:00,2025-09-20 06:00:00,NETSUITE
